feature,row,column
Age,2,4
Gender_F,7,4
Gender_M,0,4
Smoking_No,7,5
Smoking_Yes,0,4
Hx Smoking_No,7,6
Hx Smoking_Yes,0,2
Hx Radiothreapy_No,7,6
Hx Radiothreapy_Yes,0,2
Thyroid Function_Clinical Hyperthyroidism,0,2
Thyroid Function_Clinical Hypothyroidism,0,2
Thyroid Function_Euthyroid,7,6
Thyroid Function_Subclinical Hyperthyroidism,0,2
Thyroid Function_Subclinical Hypothyroidism,0,2
Physical Examination_Diffuse goiter,0,2
Physical Examination_Multinodular goiter,2,6
Physical Examination_Normal,0,2
Physical Examination_Single nodular goiter-left,1,3
Physical Examination_Single nodular goiter-right,3,2
Adenopathy_Bilateral,0,4
Adenopathy_Extensive,0,2
Adenopathy_Left,0,3
Adenopathy_No,6,1
Adenopathy_Posterior,0,2
Adenopathy_Right,0,5
Pathology_Follicular,0,2
Pathology_Hurthel cell,0,2
Pathology_Micropapillary,1,1
Pathology_Papillary,6,7
Focality_Multi-Focal,1,7
Focality_Uni-Focal,6,1
Risk_High,0,3
Risk_Intermediate,1,7
Risk_Low,6,0
T_T1a,1,1
T_T1b,1,2
T_T2,3,2
T_T3a,1,5
T_T3b,0,3
T_T4a,0,3
T_T4b,0,2
N_N0,6,0
N_N1a,0,3
N_N1b,0,7
M_M0,7,5
M_M1,0,3
Stage_I,7,4
Stage_II,0,4
Stage_III,0,2
Stage_IVA,0,2
Stage_IVB,0,2
Response_Biochemical Incomplete,0,2
Response_Excellent,5,0
Response_Indeterminate,1,3
