feature,row,column
Age,4,4
Gender_F,0,3
Gender_M,0,5
Smoking_No,1,3
Smoking_Yes,5,2
Hx Smoking_No,3,4
Hx Smoking_Yes,4,5
Hx Radiothreapy_No,2,5
Hx Radiothreapy_Yes,5,6
Thyroid Function_Clinical Hyperthyroidism,0,1
Thyroid Function_Clinical Hypothyroidism,0,7
Thyroid Function_Euthyroid,6,5
Thyroid Function_Subclinical Hyperthyroidism,2,7
Thyroid Function_Subclinical Hypothyroidism,3,0
Physical Examination_Diffuse goiter,4,0
Physical Examination_Multinodular goiter,4,6
Physical Examination_Normal,4,1
Physical Examination_Single nodular goiter-left,5,4
Physical Examination_Single nodular goiter-right,1,2
Adenopathy_Bilateral,2,0
Adenopathy_Extensive,1,5
Adenopathy_Left,1,7
Adenopathy_No,5,7
Adenopathy_Posterior,5,3
Adenopathy_Right,3,6
Pathology_Follicular,2,2
Pathology_Hurthel cell,1,6
Pathology_Micropapillary,6,3
Pathology_Papillary,6,0
Focality_Multi-Focal,3,7
Focality_Uni-Focal,3,5
Risk_High,2,3
Risk_Intermediate,6,4
Risk_Low,2,6
T_T1a,1,4
T_T1b,6,1
T_T2,3,2
T_T3a,4,7
T_T3b,5,5
T_T4a,0,2
T_T4b,5,1
N_N0,4,2
N_N1a,1,1
N_N1b,0,6
M_M0,0,0
M_M1,6,2
Stage_I,0,4
Stage_II,2,4
Stage_III,4,3
Stage_IVA,3,3
Stage_IVB,2,1
Response_Biochemical Incomplete,3,1
Response_Excellent,1,0
Response_Indeterminate,5,0
