feature,row,column
Age,0,5
Gender_F,2,6
Gender_M,4,7
Smoking_No,0,3
Smoking_Yes,4,4
Hx Smoking_No,5,2
Hx Smoking_Yes,7,5
Hx Radiothreapy_No,1,4
Hx Radiothreapy_Yes,1,3
Thyroid Function_Clinical Hyperthyroidism,1,3
Thyroid Function_Clinical Hypothyroidism,2,3
Thyroid Function_Euthyroid,6,5
Thyroid Function_Subclinical Hyperthyroidism,3,2
Thyroid Function_Subclinical Hypothyroidism,1,1
Physical Examination_Diffuse goiter,3,4
Physical Examination_Multinodular goiter,0,4
Physical Examination_Normal,4,5
Physical Examination_Single nodular goiter-left,3,1
Physical Examination_Single nodular goiter-right,2,3
Adenopathy_Bilateral,3,2
Adenopathy_Extensive,4,3
Adenopathy_Left,5,3
Adenopathy_No,3,6
Adenopathy_Right,1,4
Pathology_Follicular,5,5
Pathology_Hurthel cell,5,3
Pathology_Micropapillary,3,3
Pathology_Papillary,5,3
Focality_Multi-Focal,5,1
Focality_Uni-Focal,1,2
Risk_High,3,0
Risk_Intermediate,5,3
Risk_Low,4,3
T_T1a,3,4
T_T1b,2,3
T_T2,3,5
T_T3a,4,1
T_T3b,0,2
T_T4a,3,2
T_T4b,1,5
N_N0,3,4
N_N1a,6,1
N_N1b,2,3
M_M0,1,3
M_M1,1,3
Stage_I,1,2
Stage_II,7,1
Stage_III,5,4
Stage_IVA,4,2
Stage_IVB,0,3
Response_Biochemical Incomplete,4,0
Response_Excellent,2,0
Response_Indeterminate,0,1
