feature,row,column
age,3,0
Tense - relaxed,4,5
Authoritative -anarchic ,4,2
Hostile - friendly,3,2
sex_F,3,5
sex_M,5,5
country_argentina,4,0
country_brasil,1,6
country_canada,2,3
country_colombia,1,4
country_cuba,0,1
country_england,2,7
country_germany,6,3
country_hungary,6,6
country_italy,5,6
country_mexico,1,3
country_polish,5,4
country_russia,6,4
country_scotland,2,5
country_spain,0,3
country_uruguay,1,7
returning_no,6,2
returning_yes,5,1
GImg1_dislikes,7,3
GImg1_indiferent,3,6
GImg1_likes,6,0
GImg2_dislikes,7,1
GImg2_indiferent,2,1
GImg2_likes,1,2
GImg3_dislikes,0,5
GImg3_indiferent,7,5
GImg3_likes,5,2
PImg1_indiferent,3,3
PImg1_likes,7,4
PImg3_dislikes,4,6
PImg3_indiferent,0,2
PImg3_likes,7,0
PImg4_dislikes,1,1
PImg4_indiferent,0,0
PImg4_likes,6,1
PImg5_dislikes,1,5
PImg5_indiferent,5,0
TAudio1_A,2,4
TAudio1_B,0,7
TAudio1_C,4,1
TAudio1_D,2,2
TAudio2_dislikes,6,5
TAudio2_indiferent,2,6
TAudio3_dislikes,4,3
TAudio3_indiferent,0,4
TAudio3_likes,0,6
QAudio1_dislikes,2,0
QAudio1_indiferent,5,3
QAudio1_likes,4,7
QAudio2_dislikes,3,4
QAudio2_indiferent,4,4
QAudio2_likes,6,7
QAudio3_dislikes,5,7
QAudio3_indiferent,7,2
QAudio3_likes,1,0
Proxemics_dislikes,3,1
Proxemics_indiferent,3,7
