feature,row,column
age,4,4
Tense - relaxed,4,4
Authoritative -anarchic ,4,5
Hostile - friendly,4,2
sex_F,7,5
sex_M,2,6
country_argentina,4,3
country_brasil,4,5
country_canada,5,5
country_chile,0,5
country_colombia,5,3
country_england,0,4
country_germany,1,2
country_italy,4,3
country_mexico,1,2
country_polish,6,3
country_russia,5,4
country_scotland,3,4
country_spain,4,5
country_uruguay,3,4
returning_no,1,1
returning_yes,6,2
GImg1_dislikes,4,5
GImg1_indiferent,2,3
GImg1_likes,3,5
GImg2_dislikes,3,4
GImg2_indiferent,3,2
GImg2_likes,4,5
GImg3_dislikes,5,5
GImg3_indiferent,5,0
GImg3_likes,3,4
PImg1_indiferent,0,6
PImg1_likes,5,5
PImg3_dislikes,5,4
PImg3_indiferent,2,3
PImg3_likes,4,3
PImg4_dislikes,5,3
PImg4_indiferent,3,2
PImg4_likes,5,4
PImg5_dislikes,2,7
TAudio1_A,1,2
TAudio1_B,4,3
TAudio1_C,5,4
TAudio1_D,4,3
TAudio2_dislikes,4,5
TAudio2_indiferent,3,6
TAudio3_dislikes,2,1
TAudio3_indiferent,3,4
TAudio3_likes,2,1
QAudio1_dislikes,3,0
QAudio1_indiferent,3,5
QAudio1_likes,4,0
QAudio2_dislikes,5,5
QAudio2_indiferent,5,4
QAudio2_likes,3,4
QAudio3_dislikes,5,1
QAudio3_indiferent,5,6
QAudio3_likes,2,5
Proxemics_dislikes,5,4
Proxemics_indiferent,4,4
