Dataset,Estrategia,Modelo,Total_Folds,Fold_Actual,Accuracy,F1_Score,ROC_AUC,Tiempo_s,RAM_GB,CPU_Usage_%,Fecha
Cryotherapy.csv,Original,Random_Forest,5,Fold_1,1.0,1.0,1.0,0.0656,0.1533,100.8,2026-09-21 19:10:08
Cryotherapy.csv,Original,SVM,5,Fold_1,0.7778,0.7778,0.9506,0.0025,0.1535,0.0,2026-09-21 19:10:08
Cryotherapy.csv,Original,MLP_Clasico,5,Fold_1,0.9444,0.9443,0.9753,0.193,0.154,108.0,2026-09-21 19:10:08
Cryotherapy.csv,Original,Random_Forest,5,Fold_2,0.8889,0.8875,0.9506,0.063,0.154,99.2,2026-09-21 19:10:08
Cryotherapy.csv,Original,SVM,5,Fold_2,0.8889,0.8875,1.0,0.0025,0.154,0.0,2026-09-21 19:10:08
Cryotherapy.csv,Original,MLP_Clasico,5,Fold_2,0.8333,0.8328,0.9506,0.2031,0.1542,100.1,2026-09-21 19:10:08
Cryotherapy.csv,Original,Random_Forest,5,Fold_3,0.8889,0.8875,0.95,0.0657,0.1542,80.1,2026-09-21 19:10:08
Cryotherapy.csv,Original,SVM,5,Fold_3,0.8889,0.8875,0.85,0.0023,0.1542,0.0,2026-09-21 19:10:08
Cryotherapy.csv,Original,MLP_Clasico,5,Fold_3,0.8889,0.8875,0.9,0.2036,0.1542,100.1,2026-09-21 19:10:08
Cryotherapy.csv,Original,Random_Forest,5,Fold_4,0.9444,0.9429,1.0,0.0645,0.1543,100.8,2026-09-21 19:10:08
Cryotherapy.csv,Original,SVM,5,Fold_4,0.9444,0.9429,1.0,0.0021,0.1543,0.0,2026-09-21 19:10:08
Cryotherapy.csv,Original,MLP_Clasico,5,Fold_4,0.9444,0.9429,1.0,0.2038,0.1543,100.1,2026-09-21 19:10:09
Cryotherapy.csv,Original,Random_Forest,5,Fold_5,0.8889,0.8889,0.925,0.064,0.1543,100.8,2026-09-21 19:10:09
Cryotherapy.csv,Original,SVM,5,Fold_5,0.8333,0.8328,1.0,0.0025,0.1543,0.0,2026-09-21 19:10:09
Cryotherapy.csv,Original,MLP_Clasico,5,Fold_5,0.8333,0.8328,1.0,0.2068,0.1543,91.9,2026-09-21 19:10:09
Cryotherapy.csv,Original,Random_Forest,5,PROMEDIO,0.9222,0.9213,0.9651,0.0646,0.154,96.34,2026-09-21 19:10:09
Cryotherapy.csv,Original,SVM,5,PROMEDIO,0.8667,0.8657,0.9601,0.0024,0.1541,0.0,2026-09-21 19:10:09
Cryotherapy.csv,Original,MLP_Clasico,5,PROMEDIO,0.8889,0.8881,0.9652,0.2021,0.1542,100.04,2026-09-21 19:10:09
