Dataset,Estrategia,Modelo,Total_Folds,Fold_Actual,Accuracy,F1_Score,ROC_AUC,Tiempo_s,RAM_GB,CPU_Usage_%,Fecha
Immunotherapy.csv,Original,Random_Forest,5,Fold_1,0.8333,0.4545,0.2889,0.0683,0.1531,126.0,2026-09-21 19:11:05
Immunotherapy.csv,Original,SVM,5,Fold_1,0.8333,0.4545,0.1556,0.0031,0.1533,0.0,2026-09-21 19:11:05
Immunotherapy.csv,Original,MLP_Clasico,5,Fold_1,0.6667,0.4,0.0889,0.2026,0.1538,100.1,2026-09-21 19:11:05
Immunotherapy.csv,Original,Random_Forest,5,Fold_2,0.8889,0.8,0.9107,0.0667,0.1538,99.2,2026-09-21 19:11:06
Immunotherapy.csv,Original,SVM,5,Fold_2,0.7778,0.4375,0.75,0.0024,0.1538,0.0,2026-09-21 19:11:06
Immunotherapy.csv,Original,MLP_Clasico,5,Fold_2,0.8889,0.8,0.75,0.213,0.1541,92.8,2026-09-21 19:11:06
Immunotherapy.csv,Original,Random_Forest,5,Fold_3,0.8333,0.6516,0.7321,0.0701,0.1541,80.1,2026-09-21 19:11:06
Immunotherapy.csv,Original,SVM,5,Fold_3,0.7778,0.4375,0.7143,0.0025,0.1541,0.0,2026-09-21 19:11:06
Immunotherapy.csv,Original,MLP_Clasico,5,Fold_3,0.7222,0.4194,0.6964,0.2015,0.1541,100.1,2026-09-21 19:11:06
Immunotherapy.csv,Original,Random_Forest,5,Fold_4,0.8333,0.734,0.8661,0.0669,0.1541,80.1,2026-09-21 19:11:06
Immunotherapy.csv,Original,SVM,5,Fold_4,0.7778,0.4375,0.8393,0.0024,0.1541,0.0,2026-09-21 19:11:06
Immunotherapy.csv,Original,MLP_Clasico,5,Fold_4,0.7778,0.7231,0.8214,0.2121,0.1541,92.8,2026-09-21 19:11:06
Immunotherapy.csv,Original,Random_Forest,5,Fold_5,0.9444,0.9113,1.0,0.0649,0.1542,99.2,2026-09-21 19:11:06
Immunotherapy.csv,Original,SVM,5,Fold_5,0.7778,0.4375,0.9107,0.0022,0.1542,0.0,2026-09-21 19:11:06
Immunotherapy.csv,Original,MLP_Clasico,5,Fold_5,0.7778,0.75,0.8929,0.2087,0.1544,100.1,2026-09-21 19:11:07
Immunotherapy.csv,Original,Random_Forest,5,PROMEDIO,0.8667,0.7103,0.7596,0.0674,0.1539,96.92,2026-09-21 19:11:07
Immunotherapy.csv,Original,SVM,5,PROMEDIO,0.7889,0.4409,0.674,0.0025,0.1539,0.0,2026-09-21 19:11:07
Immunotherapy.csv,Original,MLP_Clasico,5,PROMEDIO,0.7667,0.6185,0.6499,0.2076,0.1541,97.18,2026-09-21 19:11:07
Immunotherapy.csv,SMOTE,Random_Forest,5,Fold_1,0.7778,0.4375,0.4444,0.0697,0.1546,100.8,2026-09-21 19:11:07
Immunotherapy.csv,SMOTE,SVM,5,Fold_1,0.6111,0.3793,0.1778,0.0031,0.1546,0.0,2026-09-21 19:11:07
Immunotherapy.csv,SMOTE,MLP_Clasico,5,Fold_1,0.6111,0.3793,0.2,0.2421,0.1549,106.8,2026-09-21 19:11:07
Immunotherapy.csv,SMOTE,Random_Forest,5,Fold_2,0.8333,0.734,0.9286,0.0673,0.1552,124.0,2026-09-21 19:11:07
Immunotherapy.csv,SMOTE,SVM,5,Fold_2,0.7778,0.6786,0.7857,0.0028,0.1552,0.0,2026-09-21 19:11:07
Immunotherapy.csv,SMOTE,MLP_Clasico,5,Fold_2,0.7778,0.6786,0.7857,0.2341,0.1553,99.7,2026-09-21 19:11:07
Immunotherapy.csv,SMOTE,Random_Forest,5,Fold_3,0.8889,0.8,0.7589,0.0664,0.1553,75.6,2026-09-21 19:11:07
Immunotherapy.csv,SMOTE,SVM,5,Fold_3,0.8889,0.8393,0.9286,0.003,0.1553,0.0,2026-09-21 19:11:07
Immunotherapy.csv,SMOTE,MLP_Clasico,5,Fold_3,0.7222,0.5567,0.8036,0.246,0.1553,87.5,2026-09-21 19:11:08
Immunotherapy.csv,SMOTE,Random_Forest,5,Fold_4,0.7778,0.7231,0.7857,0.0693,0.1553,80.1,2026-09-21 19:11:08
Immunotherapy.csv,SMOTE,SVM,5,Fold_4,0.7222,0.6727,0.8571,0.0033,0.1553,0.0,2026-09-21 19:11:08
Immunotherapy.csv,SMOTE,MLP_Clasico,5,Fold_4,0.6667,0.625,0.7679,0.2443,0.1554,93.8,2026-09-21 19:11:08
Immunotherapy.csv,SMOTE,Random_Forest,5,Fold_5,0.8889,0.8615,0.9286,0.0655,0.1554,80.1,2026-09-21 19:11:08
Immunotherapy.csv,SMOTE,SVM,5,Fold_5,0.8333,0.8036,0.9107,0.0032,0.1554,0.0,2026-09-21 19:11:08
Immunotherapy.csv,SMOTE,MLP_Clasico,5,Fold_5,0.6667,0.625,0.8571,0.2347,0.1554,100.2,2026-09-21 19:11:08
Immunotherapy.csv,SMOTE,Random_Forest,5,PROMEDIO,0.8333,0.7112,0.7692,0.0676,0.1551,92.12,2026-09-21 19:11:08
Immunotherapy.csv,SMOTE,SVM,5,PROMEDIO,0.7667,0.6747,0.732,0.0031,0.1551,0.0,2026-09-21 19:11:08
Immunotherapy.csv,SMOTE,MLP_Clasico,5,PROMEDIO,0.6889,0.5729,0.6829,0.2402,0.1552,97.6,2026-09-21 19:11:08
