Dataset,Estrategia,Modelo,Total_Folds,Fold_Actual,Accuracy,F1_Score,ROC_AUC,Tiempo_s,RAM_GB,CPU_Usage_%,Fecha
Thyroid_Diff.csv,Original,Random_Forest,5,Fold_1,0.974,0.9673,0.9876,0.0738,0.1545,100.2,2026-09-21 19:16:37
Thyroid_Diff.csv,Original,SVM,5,Fold_1,0.987,0.9839,0.9901,0.0093,0.1549,97.7,2026-09-21 19:16:37
Thyroid_Diff.csv,Original,MLP_Clasico,5,Fold_1,0.961,0.9529,0.9752,0.2193,0.1578,107.5,2026-09-21 19:16:38
Thyroid_Diff.csv,Original,Random_Forest,5,Fold_2,0.9481,0.9364,0.9624,0.0728,0.1579,80.1,2026-09-21 19:16:38
Thyroid_Diff.csv,Original,SVM,5,Fold_2,0.961,0.9516,0.9669,0.0087,0.1579,0.0,2026-09-21 19:16:38
Thyroid_Diff.csv,Original,MLP_Clasico,5,Fold_2,0.961,0.9516,0.9694,0.2171,0.1579,123.2,2026-09-21 19:16:38
Thyroid_Diff.csv,Original,Random_Forest,5,Fold_3,0.961,0.9516,0.9917,0.0714,0.1579,79.1,2026-09-21 19:16:38
Thyroid_Diff.csv,Original,SVM,5,Fold_3,0.9481,0.9345,0.9909,0.0087,0.1579,0.0,2026-09-21 19:16:38
Thyroid_Diff.csv,Original,MLP_Clasico,5,Fold_3,0.961,0.9529,0.9917,0.2741,0.158,152.7,2026-09-21 19:16:38
Thyroid_Diff.csv,Original,Random_Forest,5,Fold_4,0.9868,0.9838,0.9996,0.0729,0.158,59.3,2026-09-21 19:16:38
Thyroid_Diff.csv,Original,SVM,5,Fold_4,0.9737,0.9661,0.9965,0.0089,0.158,0.0,2026-09-21 19:16:38
Thyroid_Diff.csv,Original,MLP_Clasico,5,Fold_4,0.9474,0.9342,0.9784,0.2539,0.1581,118.8,2026-09-21 19:16:39
Thyroid_Diff.csv,Original,Random_Forest,5,Fold_5,0.9342,0.9107,0.9896,0.0708,0.1581,126.0,2026-09-21 19:16:39
Thyroid_Diff.csv,Original,SVM,5,Fold_5,0.9211,0.8908,0.9861,0.0091,0.1581,97.7,2026-09-21 19:16:39
Thyroid_Diff.csv,Original,MLP_Clasico,5,Fold_5,0.9342,0.9138,0.9593,0.231,0.1585,106.8,2026-09-21 19:16:39
Thyroid_Diff.csv,Original,Random_Forest,5,PROMEDIO,0.9608,0.9499,0.9862,0.0723,0.1573,88.94,2026-09-21 19:16:39
Thyroid_Diff.csv,Original,SVM,5,PROMEDIO,0.9582,0.9454,0.9861,0.0089,0.1574,39.08,2026-09-21 19:16:39
Thyroid_Diff.csv,Original,MLP_Clasico,5,PROMEDIO,0.9529,0.9411,0.9748,0.2391,0.1581,121.8,2026-09-21 19:16:39
Thyroid_Diff.csv,SMOTE,Random_Forest,5,Fold_1,0.987,0.9839,0.9909,0.0755,0.1591,80.1,2026-09-21 19:16:39
Thyroid_Diff.csv,SMOTE,SVM,5,Fold_1,0.987,0.9839,0.9893,0.0131,0.1591,0.0,2026-09-21 19:16:39
Thyroid_Diff.csv,SMOTE,MLP_Clasico,5,Fold_1,0.961,0.9529,0.9678,0.3068,0.1591,135.2,2026-09-21 19:16:39
Thyroid_Diff.csv,SMOTE,Random_Forest,5,Fold_2,0.9351,0.9215,0.9719,0.0762,0.1594,100.2,2026-09-21 19:16:40
Thyroid_Diff.csv,SMOTE,SVM,5,Fold_2,0.961,0.9516,0.9603,0.0132,0.1594,0.0,2026-09-21 19:16:40
Thyroid_Diff.csv,SMOTE,MLP_Clasico,5,Fold_2,0.961,0.9516,0.9736,0.2783,0.1594,111.2,2026-09-21 19:16:40
Thyroid_Diff.csv,SMOTE,Random_Forest,5,Fold_3,0.961,0.9516,0.9913,0.0757,0.1594,80.1,2026-09-21 19:16:40
Thyroid_Diff.csv,SMOTE,SVM,5,Fold_3,0.961,0.9516,0.9876,0.0127,0.1594,0.0,2026-09-21 19:16:40
Thyroid_Diff.csv,SMOTE,MLP_Clasico,5,Fold_3,0.961,0.9529,0.9926,0.3018,0.1594,100.0,2026-09-21 19:16:40
Thyroid_Diff.csv,SMOTE,Random_Forest,5,Fold_4,0.9737,0.9671,0.9983,0.0742,0.1594,100.2,2026-09-21 19:16:40
Thyroid_Diff.csv,SMOTE,SVM,5,Fold_4,0.9868,0.9833,0.9965,0.0119,0.1594,97.7,2026-09-21 19:16:40
Thyroid_Diff.csv,SMOTE,MLP_Clasico,5,Fold_4,0.9474,0.9342,0.9758,0.3048,0.1596,95.2,2026-09-21 19:16:41
Thyroid_Diff.csv,SMOTE,Random_Forest,5,Fold_5,0.9342,0.9107,0.9909,0.0732,0.1598,80.1,2026-09-21 19:16:41
Thyroid_Diff.csv,SMOTE,SVM,5,Fold_5,0.9342,0.9107,0.981,0.0126,0.1598,97.7,2026-09-21 19:16:41
Thyroid_Diff.csv,SMOTE,MLP_Clasico,5,Fold_5,0.9211,0.8947,0.9567,0.2572,0.1598,143.7,2026-09-21 19:16:41
Thyroid_Diff.csv,SMOTE,Random_Forest,5,PROMEDIO,0.9582,0.947,0.9887,0.075,0.1594,88.14,2026-09-21 19:16:41
Thyroid_Diff.csv,SMOTE,SVM,5,PROMEDIO,0.966,0.9562,0.9829,0.0127,0.1594,39.08,2026-09-21 19:16:41
Thyroid_Diff.csv,SMOTE,MLP_Clasico,5,PROMEDIO,0.9503,0.9373,0.9733,0.2898,0.1594,117.06,2026-09-21 19:16:41
