Dataset,Estrategia,Modelo,Total_Folds,Fold_Actual,Accuracy,F1_Score,ROC_AUC,Tiempo_s,RAM_GB,CPU_Usage_%,Fecha
heart_failure_clinical_records_dataset.csv,Original,Random_Forest,5,Fold_1,0.8667,0.846,0.915,0.0759,0.154,100.2,2026-09-21 19:10:39
heart_failure_clinical_records_dataset.csv,Original,SVM,5,Fold_1,0.7167,0.6571,0.8275,0.0066,0.1544,0.0,2026-09-21 19:10:39
heart_failure_clinical_records_dataset.csv,Original,MLP_Clasico,5,Fold_1,0.7667,0.7375,0.8375,0.4382,0.1554,96.5,2026-09-21 19:10:40
heart_failure_clinical_records_dataset.csv,Original,Random_Forest,5,Fold_2,0.8333,0.8125,0.8825,0.0727,0.1554,80.1,2026-09-21 19:10:40
heart_failure_clinical_records_dataset.csv,Original,SVM,5,Fold_2,0.7667,0.7222,0.828,0.0063,0.1554,0.0,2026-09-21 19:10:40
heart_failure_clinical_records_dataset.csv,Original,MLP_Clasico,5,Fold_2,0.8,0.775,0.8485,0.4688,0.1554,99.9,2026-09-21 19:10:40
heart_failure_clinical_records_dataset.csv,Original,Random_Forest,5,Fold_3,0.9,0.881,0.9345,0.0744,0.1554,80.1,2026-09-21 19:10:41
heart_failure_clinical_records_dataset.csv,Original,SVM,5,Fold_3,0.7667,0.6563,0.8703,0.0067,0.1554,0.0,2026-09-21 19:10:41
heart_failure_clinical_records_dataset.csv,Original,MLP_Clasico,5,Fold_3,0.8,0.7689,0.8562,0.4627,0.1555,103.2,2026-09-21 19:10:41
heart_failure_clinical_records_dataset.csv,Original,Random_Forest,5,Fold_4,0.7833,0.7378,0.8575,0.0763,0.1555,100.2,2026-09-21 19:10:41
heart_failure_clinical_records_dataset.csv,Original,SVM,5,Fold_4,0.8167,0.7499,0.8614,0.0072,0.1555,0.0,2026-09-21 19:10:41
heart_failure_clinical_records_dataset.csv,Original,MLP_Clasico,5,Fold_4,0.9,0.8769,0.914,0.4761,0.1555,96.6,2026-09-21 19:10:42
