Dataset,Estrategia,Modelo,Total_Folds,Fold_Actual,Accuracy,F1_Score,ROC_AUC,Tiempo_s,RAM_GB,CPU_Usage_%,Fecha
non-verbal-tourist.csv,Original,Random_Forest,5,Fold_1,0.8,0.4472,0.9773,0.0685,0.1539,100.8,2026-09-21 19:11:19
non-verbal-tourist.csv,Original,SVM,5,Fold_1,0.8,0.4472,0.9716,0.0041,0.1542,0.0,2026-09-21 19:11:19
non-verbal-tourist.csv,Original,MLP_Clasico,5,Fold_1,0.8667,0.625,0.9669,0.0741,0.1551,100.2,2026-09-21 19:11:19
non-verbal-tourist.csv,Original,Random_Forest,5,Fold_2,0.6667,0.3651,0.9694,0.0693,0.1551,80.1,2026-09-21 19:11:19
non-verbal-tourist.csv,Original,SVM,5,Fold_2,0.7333,0.3778,0.9759,0.0036,0.1551,0.0,2026-09-21 19:11:19
non-verbal-tourist.csv,Original,MLP_Clasico,5,Fold_2,0.8,0.5444,0.9848,0.0683,0.1552,126.0,2026-09-21 19:11:19
non-verbal-tourist.csv,Original,Random_Forest,5,Fold_3,0.7333,0.372,0.9936,0.0664,0.1552,100.8,2026-09-21 19:11:19
non-verbal-tourist.csv,Original,SVM,5,Fold_3,0.7333,0.3819,0.9455,0.0041,0.1552,0.0,2026-09-21 19:11:19
non-verbal-tourist.csv,Original,MLP_Clasico,5,Fold_3,0.8667,0.7429,0.9373,0.0717,0.1553,80.1,2026-09-21 19:11:19
non-verbal-tourist.csv,Original,Random_Forest,5,Fold_4,0.8571,0.716,N/A,0.0685,0.1554,126.0,2026-09-21 19:11:19
non-verbal-tourist.csv,Original,SVM,5,Fold_4,0.8571,0.5581,N/A,0.0036,0.1554,0.0,2026-09-21 19:11:19
non-verbal-tourist.csv,Original,MLP_Clasico,5,Fold_4,0.9286,0.9446,N/A,0.0745,0.1555,126.0,2026-09-21 19:11:19
non-verbal-tourist.csv,Original,Random_Forest,5,Fold_5,0.7143,0.3111,N/A,0.0675,0.1555,99.2,2026-09-21 19:11:19
non-verbal-tourist.csv,Original,SVM,5,Fold_5,0.7857,0.4711,N/A,0.0039,0.1555,0.0,2026-09-21 19:11:19
non-verbal-tourist.csv,Original,MLP_Clasico,5,Fold_5,0.7857,0.5018,N/A,0.0735,0.1555,80.1,2026-09-21 19:11:19
non-verbal-tourist.csv,Original,Random_Forest,5,PROMEDIO,0.7543,0.4423,0.9801,0.068,0.155,101.38,2026-09-21 19:11:19
non-verbal-tourist.csv,Original,SVM,5,PROMEDIO,0.7819,0.4472,0.9643,0.0038,0.1551,0.0,2026-09-21 19:11:19
non-verbal-tourist.csv,Original,MLP_Clasico,5,PROMEDIO,0.8495,0.6717,0.963,0.0724,0.1553,102.48,2026-09-21 19:11:19
non-verbal-tourist.csv,SMOTE,Random_Forest,5,Fold_1,0.8667,0.625,0.9577,0.0714,0.1566,80.1,2026-09-21 19:11:19
non-verbal-tourist.csv,SMOTE,SVM,5,Fold_1,0.7333,0.5491,0.9835,0.0066,0.1567,0.0,2026-09-21 19:11:19
non-verbal-tourist.csv,SMOTE,MLP_Clasico,5,Fold_1,0.7333,0.5491,0.9669,0.123,0.158,112.5,2026-09-21 19:11:20
non-verbal-tourist.csv,SMOTE,Random_Forest,5,Fold_2,0.7333,0.5317,0.9749,0.0717,0.1582,124.0,2026-09-21 19:11:20
non-verbal-tourist.csv,SMOTE,SVM,5,Fold_2,0.7333,0.5317,0.9814,0.0067,0.1582,0.0,2026-09-21 19:11:20
non-verbal-tourist.csv,SMOTE,MLP_Clasico,5,Fold_2,0.8,0.5444,0.9907,0.1188,0.1582,100.0,2026-09-21 19:11:20
non-verbal-tourist.csv,SMOTE,Random_Forest,5,Fold_3,0.8667,0.7389,0.981,0.0712,0.1583,80.1,2026-09-21 19:11:20
non-verbal-tourist.csv,SMOTE,SVM,5,Fold_3,0.8667,0.7429,0.9684,0.0068,0.1583,0.0,2026-09-21 19:11:20
non-verbal-tourist.csv,SMOTE,MLP_Clasico,5,Fold_3,0.8667,0.7429,0.9348,0.1212,0.1587,113.6,2026-09-21 19:11:20
non-verbal-tourist.csv,SMOTE,Random_Forest,5,Fold_4,0.9286,0.9048,N/A,0.0733,0.1587,100.2,2026-09-21 19:11:20
non-verbal-tourist.csv,SMOTE,SVM,5,Fold_4,0.9286,0.9048,N/A,0.0092,0.1587,0.0,2026-09-21 19:11:20
non-verbal-tourist.csv,SMOTE,MLP_Clasico,5,Fold_4,0.9286,0.9446,N/A,0.1158,0.1587,114.7,2026-09-21 19:11:20
non-verbal-tourist.csv,SMOTE,Random_Forest,5,Fold_5,0.7857,0.5482,N/A,0.0723,0.1588,100.2,2026-09-21 19:11:20
non-verbal-tourist.csv,SMOTE,SVM,5,Fold_5,0.8571,0.6882,N/A,0.006,0.1588,0.0,2026-09-21 19:11:20
non-verbal-tourist.csv,SMOTE,MLP_Clasico,5,Fold_5,0.8571,0.7111,N/A,0.1216,0.1593,150.0,2026-09-21 19:11:21
non-verbal-tourist.csv,SMOTE,Random_Forest,5,PROMEDIO,0.8362,0.6697,0.9712,0.072,0.1581,96.92,2026-09-21 19:11:21
non-verbal-tourist.csv,SMOTE,SVM,5,PROMEDIO,0.8238,0.6833,0.9777,0.0071,0.1581,0.0,2026-09-21 19:11:21
non-verbal-tourist.csv,SMOTE,MLP_Clasico,5,PROMEDIO,0.8371,0.6984,0.9641,0.1201,0.1586,118.16,2026-09-21 19:11:21
