Metodo,Fold,Epoch,Train_Loss,Val_Loss
REFINED,1,1,0.5173,0.3637
REFINED,1,2,0.4108,0.4641
REFINED,1,3,0.4104,0.3052
REFINED,1,4,0.3722,0.2972
REFINED,1,5,0.3952,0.3505
REFINED,1,6,0.3764,0.3483
REFINED,1,7,0.3847,0.3044
REFINED,1,8,0.3724,0.3243
REFINED,1,9,0.3643,0.3191
REFINED,1,10,0.3549,0.3084
REFINED,2,1,0.4566,0.4079
REFINED,2,2,0.4284,0.4385
REFINED,2,3,0.4052,0.4247
REFINED,2,4,0.3737,0.4247
REFINED,2,5,0.3721,0.3725
REFINED,2,6,0.3799,0.4595
REFINED,2,7,0.358,0.4202
REFINED,2,8,0.3407,0.3625
REFINED,2,9,0.3613,0.3765
REFINED,2,10,0.3477,0.3941
REFINED,3,1,0.5141,0.5062
REFINED,3,2,0.4369,0.3691
REFINED,3,3,0.3877,0.3683
REFINED,3,4,0.412,0.4094
REFINED,3,5,0.3895,0.4402
REFINED,3,6,0.3593,0.3669
REFINED,3,7,0.3613,0.4183
REFINED,3,8,0.3835,0.3825
REFINED,3,9,0.3778,0.4042
REFINED,3,10,0.382,0.345
REFINED,4,1,0.4922,0.3262
REFINED,4,2,0.4293,0.3578
REFINED,4,3,0.3989,0.365
REFINED,4,4,0.4118,0.3915
REFINED,4,5,0.4079,0.3568
REFINED,4,6,0.3869,0.5157
REFINED,4,7,0.3973,0.3082
REFINED,4,8,0.3774,0.3624
REFINED,4,9,0.3817,0.3212
REFINED,4,10,0.3656,0.3582
REFINED,5,1,0.476,0.4354
REFINED,5,2,0.4025,0.4202
REFINED,5,3,0.4113,0.4544
REFINED,5,4,0.3919,0.4608
REFINED,5,5,0.4044,0.4029
REFINED,5,6,0.3899,0.607
REFINED,5,7,0.3751,0.5404
REFINED,5,8,0.3494,0.4256
REFINED,5,9,0.3479,0.4536
REFINED,5,10,0.3333,0.4185
