Metodo,Fold,Epoch,Train_Loss,Val_Loss
REFINED,1,1,0.4907,0.4748
REFINED,1,2,0.4483,0.3602
REFINED,1,3,0.4186,0.3379
REFINED,1,4,0.4017,0.396
REFINED,1,5,0.3939,0.4137
REFINED,1,6,0.3835,0.3076
REFINED,1,7,0.3884,0.3288
REFINED,1,8,0.3782,0.4656
REFINED,1,9,0.4009,0.3256
REFINED,1,10,0.3652,0.2984
REFINED,2,1,0.4834,0.3809
REFINED,2,2,0.4132,0.4881
REFINED,2,3,0.4038,0.3738
REFINED,2,4,0.4052,0.4428
REFINED,2,5,0.3868,0.4438
REFINED,2,6,0.3702,0.3657
REFINED,2,7,0.3968,0.6681
REFINED,2,8,0.3792,0.4669
REFINED,2,9,0.3946,0.3947
REFINED,2,10,0.3696,0.3655
REFINED,3,1,0.5285,0.987
REFINED,3,2,0.4765,0.489
REFINED,3,3,0.4115,0.4102
REFINED,3,4,0.4007,0.485
REFINED,3,5,0.4289,0.3956
REFINED,3,6,0.4874,1.7495
REFINED,3,7,0.4436,0.3996
REFINED,3,8,0.4008,0.4078
REFINED,3,9,0.4172,0.3536
REFINED,3,10,0.3625,0.438
REFINED,4,1,0.5691,0.3505
REFINED,4,2,0.4271,0.9584
REFINED,4,3,0.4482,0.361
REFINED,4,4,0.42,0.3678
REFINED,4,5,0.4011,0.4527
REFINED,4,6,0.4144,0.5194
REFINED,4,7,0.4062,0.4325
REFINED,4,8,0.3689,0.3351
REFINED,4,9,0.3982,0.358
REFINED,4,10,0.3929,0.3318
REFINED,5,1,0.546,0.4034
REFINED,5,2,0.4152,0.4995
REFINED,5,3,0.4159,0.4488
REFINED,5,4,0.3895,0.3974
REFINED,5,5,0.4118,0.6748
REFINED,5,6,0.3779,0.4369
REFINED,5,7,0.384,1.2795
REFINED,5,8,0.4078,0.4426
REFINED,5,9,0.409,0.5257
REFINED,5,10,0.3897,0.4018
