Metodo,Fold,Epoch,Train_Loss,Val_Loss
REFINED,1,1,0.8377,0.6533
REFINED,1,2,0.5993,0.5437
REFINED,1,3,0.509,0.4838
REFINED,1,4,0.4602,0.5693
REFINED,1,5,0.4358,0.5021
REFINED,1,6,0.4467,0.4029
REFINED,1,7,0.4354,0.4981
REFINED,1,8,0.4013,0.4416
REFINED,1,9,0.4134,0.4146
REFINED,1,10,0.4165,0.4303
REFINED,2,1,0.8386,0.6818
REFINED,2,2,0.5785,0.6247
REFINED,2,3,0.5726,0.5645
REFINED,2,4,0.5078,0.3978
REFINED,2,5,0.5486,0.67
REFINED,2,6,0.5896,0.8189
REFINED,2,7,0.6267,0.7825
REFINED,2,8,0.4863,0.4359
REFINED,2,9,0.4579,0.4939
REFINED,2,10,0.4172,0.3857
REFINED,3,1,0.7699,0.678
REFINED,3,2,0.6658,0.6475
REFINED,3,3,0.6268,0.6684
REFINED,3,4,0.576,0.6382
REFINED,3,5,0.5532,0.6562
REFINED,3,6,0.6015,0.5395
REFINED,3,7,0.5422,0.6528
REFINED,3,8,0.5461,0.5113
REFINED,3,9,0.5478,0.4907
REFINED,3,10,0.5327,0.7183
REFINED,4,1,0.7782,0.5834
REFINED,4,2,0.6836,0.5748
REFINED,4,3,0.5911,0.5043
REFINED,4,4,0.5098,0.3956
REFINED,4,5,0.4864,0.3863
REFINED,4,6,0.454,0.4136
REFINED,4,7,0.5345,0.5356
REFINED,4,8,0.5794,0.515
REFINED,4,9,0.5669,0.4867
REFINED,4,10,0.5757,0.5082
REFINED,5,1,0.8373,0.5847
REFINED,5,2,0.7045,0.655
REFINED,5,3,0.6354,0.7572
REFINED,5,4,0.5477,0.467
REFINED,5,5,0.5237,0.4857
REFINED,5,6,0.5426,0.4518
REFINED,5,7,0.4365,0.4564
REFINED,5,8,0.4233,0.515
REFINED,5,9,0.4419,0.5082
REFINED,5,10,0.5372,0.4792
